file1;file2;rabit-runtime;rabit-retcode;rabit-states_cnt;forklift-runtime;forklift-retcode;forklift-states_cnt;bait-runtime;bait-retcode;bait-states_cnt;kofola_fast-runtime;kofola_fast-retcode;kofola_fast-states_cnt;kofola_fast_early-runtime;kofola_fast_early-retcode;kofola_fast_early-states_cnt;kofola_fast_early_plus-runtime;kofola_fast_early_plus-retcode;kofola_fast_early_plus-states_cnt;kofola_fast_early_early_plus-runtime;kofola_fast_early_early_plus-retcode;kofola_fast_early_early_plus-states_cnt;autfilt_64-runtime;autfilt_64-retcode;autfilt_64-states_cnt;kofola_fast_cnt-runtime;kofola_fast_cnt-retcode;kofola_fast_cnt-states_cnt;kofola_fast_early_cnt-runtime;kofola_fast_early_cnt-retcode;kofola_fast_early_cnt-states_cnt;kofola_fast_early_plus_cnt-runtime;kofola_fast_early_plus_cnt-retcode;kofola_fast_early_plus_cnt-states_cnt;kofola_fast_early_early_plus_cnt-runtime;kofola_fast_early_early_plus_cnt-retcode;kofola_fast_early_early_plus_cnt-states_cnt;autfilt_64_cnt-runtime;autfilt_64_cnt-retcode;autfilt_64_cnt-states_cnt
automata/hyperltl/gni_lmcs_p4_1bit_B.hoa;automata/hyperltl/gni_lmcs_p4_1bit_A.hoa;0.13;0;;0.1;1;;0.17;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;25;0.01;0;25;0.0;0;25;0.0;0;25;0.0;0;25
automata/hyperltl/gni_lmcs_p4_3bit_A.hoa;automata/hyperltl/gni_lmcs_p4_3bit_B.hoa;57.71;0;;1.26;1;;44.38;0;;0.12;0;;0.12;0;;0.13;0;;0.13;0;;0.05;0;;0.12;0;17921;0.13;0;17921;0.12;0;17921;0.14;0;17921;0.04;0;17921
automata/hyperltl/gni_lmcs_p4_3bit_B.hoa;automata/hyperltl/gni_lmcs_p4_3bit_A.hoa;ERR;ERR;ERR;1.08;1;;872.37;0;;0.07;0;;0.07;0;;0.06;0;;0.07;0;;0.08;0;;0.06;0;193;0.07;0;193;0.07;0;193;0.07;0;193;0.08;0;193
automata/hyperltl/mutation_testing_mutation_testing_A.hoa;automata/hyperltl/mutation_testing_mutation_testing_B.hoa;5.77;0;;2.73;1;;5.88;0;;0.01;1;;0.01;1;;0.01;1;;0.01;1;;0.02;1;;0.01;1;2;0.01;1;2;0.01;1;2;0.01;1;2;0.01;1;31
automata/hyperltl/mutation_testing_mutation_testing_B.hoa;automata/hyperltl/mutation_testing_mutation_testing_A.hoa;4.21;0;;28.13;1;;7.36;0;;0.01;1;;0.01;1;;0.01;1;;0.0;1;;0.01;1;;0.01;1;2;0.01;1;2;0.02;1;2;0.0;1;2;0.02;1;61
automata/hyperltl/planning_robotic_robustness_100_A.hoa;automata/hyperltl/planning_robotic_robustness_100_B.hoa;1.52;0;;0.43;1;;1.2;0;;0.31;1;;0.31;1;;0.31;1;;0.31;1;;1.58;1;;0.31;1;125;0.3;1;125;0.32;1;125;0.31;1;125;1.62;1;4160
automata/hyperltl/planning_robotic_robustness_100_B.hoa;automata/hyperltl/planning_robotic_robustness_100_A.hoa;1.26;0;;0.49;1;;1.47;0;;0.04;1;;0.04;1;;0.04;1;;0.05;1;;0.14;1;;0.04;1;11;0.04;1;11;0.05;1;11;0.04;1;11;0.23;1;120555
automata/hyperltl/planning_robotic_robustness_1600_A.hoa;automata/hyperltl/planning_robotic_robustness_1600_B.hoa;13.1;0;;1.15;1;;24.6;0;;0.74;1;;0.71;1;;0.73;1;;0.73;1;;ERR;ERR;ERR;0.74;1;219;0.77;1;219;0.75;1;219;0.73;1;219;ERR;ERR;ERR
automata/hyperltl/planning_robotic_robustness_1600_B.hoa;automata/hyperltl/planning_robotic_robustness_1600_A.hoa;9.63;0;;1.52;1;;14.64;0;;0.08;1;;0.08;1;;0.08;1;;0.09;1;;3.67;1;;0.09;1;11;0.08;1;11;0.09;1;11;0.08;1;11;7.1;1;2105732
automata/hyperltl/planning_robotic_robustness_3600_A.hoa;automata/hyperltl/planning_robotic_robustness_3600_B.hoa;30.34;0;;1.19;1;;67.93;0;;0.08;1;;0.09;1;;0.09;1;;0.08;1;;ERR;ERR;ERR;0.1;1;294;0.08;1;294;0.09;1;294;0.08;1;294;ERR;ERR;ERR
automata/hyperltl/planning_robotic_robustness_3600_B.hoa;automata/hyperltl/planning_robotic_robustness_3600_A.hoa;21.89;0;;1.96;1;;68.77;0;;0.26;1;;0.2;1;;0.18;1;;0.18;1;;8.99;1;;0.17;1;11;0.18;1;11;0.17;1;11;0.19;1;11;18.06;1;4810052
automata/hyperltl/planning_robotic_robustness_400_A.hoa;automata/hyperltl/planning_robotic_robustness_400_B.hoa;3.86;0;;0.6;1;;4.35;0;;0.17;1;;0.18;1;;0.18;1;;0.18;1;;16.33;1;;0.19;1;219;0.18;1;219;0.17;1;219;0.17;1;219;16.61;1;11636
automata/hyperltl/planning_robotic_robustness_400_B.hoa;automata/hyperltl/planning_robotic_robustness_400_A.hoa;3.3;0;;0.81;1;;4.74;0;;0.02;1;;0.02;1;;0.03;1;;0.02;1;;0.68;1;;0.03;1;11;0.03;1;11;0.03;1;11;0.04;1;11;1.52;1;502212
automata/hyperltl/planning_robotic_sp_100_A.hoa;automata/hyperltl/planning_robotic_sp_100_B.hoa;1.6;0;;173.47;1;;TO;TO;TO;0.01;1;;0.01;1;;0.01;1;;0.01;1;;0.01;1;;0.01;1;1341;0.01;1;1249;0.01;1;1239;0.01;1;1239;0.01;1;1187
automata/hyperltl/planning_robotic_sp_100_B.hoa;automata/hyperltl/planning_robotic_sp_100_A.hoa;0.65;0;;0.48;1;;0.49;0;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.01;1;;0.0;1;177;0.0;1;177;0.0;1;177;0.01;1;177;0.0;1;1623
automata/hyperltl/planning_robotic_sp_1600_A.hoa;automata/hyperltl/planning_robotic_sp_1600_B.hoa;3.92;0;;200.78;1;;ERR;ERR;ERR;0.04;1;;0.03;1;;0.03;1;;0.04;1;;0.03;1;;0.03;1;2019;0.03;1;1915;0.03;1;1780;0.03;1;1780;0.03;1;1625
automata/hyperltl/planning_robotic_sp_1600_B.hoa;automata/hyperltl/planning_robotic_sp_1600_A.hoa;2.64;0;;2.31;1;;1.5;0;;0.01;1;;0.01;1;;0.0;1;;0.01;1;;0.01;1;;0.01;1;92;0.01;1;77;0.01;1;77;0.0;1;77;0.01;1;3049
automata/hyperltl/planning_robotic_sp_3600_A.hoa;automata/hyperltl/planning_robotic_sp_3600_B.hoa;3.59;0;;175.29;1;;ERR;ERR;ERR;0.02;1;;0.03;1;;0.03;1;;0.04;1;;0.03;1;;0.02;1;2051;0.03;1;1947;0.02;1;1776;0.03;1;1776;0.02;1;1691
automata/hyperltl/planning_robotic_sp_3600_B.hoa;automata/hyperltl/planning_robotic_sp_3600_A.hoa;2.3;0;;63.66;1;;1.31;0;;0.01;1;;0.01;1;;0.0;1;;0.01;1;;0.01;1;;0.01;1;86;0.0;1;71;0.01;1;71;0.01;1;71;0.01;1;3069
automata/hyperltl/planning_robotic_sp_400_A.hoa;automata/hyperltl/planning_robotic_sp_400_B.hoa;1.66;0;;TO;TO;TO;TO;TO;TO;0.01;1;;0.02;1;;0.01;1;;0.01;1;;0.01;1;;0.01;1;1513;0.01;1;1428;0.01;1;1369;0.02;1;1369;0.01;1;1339
